,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
60014,PEUGEOT,307,Verkeerde brandstof,88.0,46.31818181818182,49.41419249834128
60016,NISSAN,NOTE,Anders,174.0,21.436781609195403,23.665402717202237
60024,AUDI,A4,Dynamo,32.0,22.59375,24.60976388784099
60031,NISSAN,X-TRAIL,Verlichting,34.0,26.029411764705884,28.603359553463715
60039,AUDI,A6,Controlelampjes / dashboardmeldingen,302.0,24.655629139072847,26.909233982720846
60098,PEUGEOT,508,Elektronica,113.0,25.17699115044248,27.63425144608807
60154,LAND,ROVER RANGE ROVER SPORT,Anders,53.0,27.452830188679247,30.05016784814353
60436,AUDI,A6,Geen brandstof,51.0,14.411764705882353,15.729777916563267
60455,CITROEN,BERLINGO,Controlelampjes / dashboardmeldingen,404.0,24.185643564356436,26.42963152144891
60462,OPEL,SIGNUM,Accu,131.0,17.580152671755727,19.664845858794745
60464,OPEL,SIGNUM,Stottert / verliest vermogen,68.0,26.63235294117647,29.169467586658534
60484,VOLVO,C70,Bijgeluiden,133.0,22.23308270676692,24.250694415236055
60493,BMW,X1,Elektronica,295.0,26.620338983050846,28.98745227872315
60675,VOLVO,XC70,Bijgeluiden,216.0,24.546296296296298,26.769639246893213
60679,VOLVO,XC70,Stuurinrichting,119.0,29.857142857142858,32.88109085623455
60711,SAAB,9-3,Sleutel in voertuig,242.0,21.24380165289256,24.07354428689884
60717,JAGUAR,XJ,Lekke band - geen reserve,183.0,22.043715846994534,23.900100924438252
60732,CHEVROLET,ORLANDO,Start niet,71.0,15.830985915492958,17.898591038739184
60733,CHEVROLET,ORLANDO,Accu,90.0,16.81111111111111,18.639108879899855
60740,VOLVO,V60,Bijgeluiden,927.0,21.042071197411005,22.862242724266437
60809,DODGE,JOURNEY,Afgeslagen tijdens rijden,33.0,20.181818181818183,21.789713297970184
60811,DODGE,JOURNEY,Accu,213.0,15.67605633802817,17.528839274770345
60820,SKODA,CITIGO,Lekke band - geen reserve,633.0,18.4391785150079,20.173563158732314
60823,TOYOTA,AVENSIS,Carrosserie onderzijde,31.0,23.096774193548388,24.781568619602947
60901,CHEVROLET,SPARK,Carrosserie,321.0,18.105919003115265,20.127972393207422
60918,OPEL,ASTRA,Sleutel verloren / gestolen,48.0,23.916666666666668,26.53087701487525
61058,FORD,MONDEO,Verlichting,343.0,22.749271137026238,24.959272883241674
61068,RENAULT,CAPTUR,Stottert / verliest vermogen,166.0,27.903614457831324,30.598520203307203
61076,SEAT,IBIZA,Vering / Wielophanging,52.0,19.96153846153846,22.46693760875589
61086,HYUNDAI,IX35,Accu,1674.0,16.79330943847073,18.600328348854806
61098,CITROEN,C8,Stottert / verliest vermogen,67.0,22.029850746268657,24.14166332661076
61118,TOYOTA,AVENSIS,Raammechaniek,33.0,21.757575757575758,23.823492349221308
61131,SEAT,TOLEDO,Afgeslagen tijdens rijden,154.0,25.376623376623378,27.942294824233485
61162,LADA,NOVA,Start niet,117.0,16.70940170940171,18.44433113335555
61165,LADA,NOVA,Stottert / verliest vermogen,34.0,24.11764705882353,26.585927111230934
61168,LADA,NOVA,Lekke band,69.0,15.217391304347826,16.294418329206636
61192,PORSCHE,CAYENNE / CAYENNE S,Stottert / verliest vermogen,79.0,32.20253164556962,34.8581910320536
61232,TOYOTA,STARLET,Bijgeluiden,111.0,22.486486486486488,24.595997241741276
61247,VOLVO,V40,Carrosserie onderzijde,90.0,19.055555555555557,20.802434795414936
